home_team,home_q1,home_q2,home_q3,home_q4,home_q5,home_final,away_team,away_q1,away_q2,away_q3,away_q4,away_q5,away_final,season,week
Cincinnati BengalsCincinnati (4-12),0,17,7,24,48,48,Cleveland BrownsCleveland (8-8),6,0,10,0,16,16,1978,16
New York JetsNY Jets (8-8),0,0,0,7,7,7,Dallas CowboysDallas (12-4),7,3,13,7,30,30,1978,16
Tampa Bay BuccaneersTampa Bay (5-11),3,0,0,7,10,10,New Orleans SaintsNew Orleans (7-9),3,0,7,7,17,17,1978,16
Philadelphia EaglesPhiladelphia (9-7),13,0,0,7,20,20,New York GiantsNY Giants (6-10),3,0,0,0,3,3,1978,16
Detroit LionsDetroit (7-9),3,17,7,6,33,33,San Francisco 49ersSan Francisco (2-14),7,0,0,7,14,14,1978,16
Baltimore ColtsBaltimore (5-11),0,7,0,7,14,14,Buffalo BillsBuffalo (5-11),0,7,7,7,21,21,1978,16
Los Angeles RamsLos Angeles (12-4),7,0,14,10,31,31,Green Bay PackersGreen Bay (8-7-1),0,0,7,7,14,14,1978,16
Seattle SeahawksSeattle (9-7),7,13,0,3,23,23,Kansas City ChiefsKansas City (4-12),3,7,7,2,19,19,1978,16
Oakland RaidersOakland (9-7),21,0,3,3,27,27,Minnesota VikingsMinnesota (8-7-1),0,6,0,14,20,20,1978,16
Houston OilersHouston (10-6),0,17,0,7,24,24,San Diego ChargersSan Diego (9-7),0,21,10,14,45,45,1978,16
Miami DolphinsMiami (11-5),7,6,7,3,23,23,New England PatriotsNew England (11-5),0,0,0,3,3,3,1978,16
Tampa Bay BuccaneersTampa Bay (1-0),10,14,0,7,31,31,Detroit LionsDetroit (0-1),0,7,0,9,16,16,1979,1
New Orleans SaintsNew Orleans (0-1),7,21,3,3,0,34,Atlanta FalconsAtlanta (1-0),0,20,7,7,6,40,1979,1
New York JetsNY Jets (0-1),3,7,3,9,0,22,Cleveland BrownsCleveland (1-0),7,3,9,3,3,25,1979,1
Washington RedskinsWashington (0-1),0,17,7,3,27,27,Houston OilersHouston (1-0),6,0,7,16,29,29,1979,1
Buffalo BillsBuffalo (0-1),0,7,0,0,7,7,Miami DolphinsMiami (1-0),0,0,3,6,9,9,1979,1
Philadelphia EaglesPhiladelphia (1-0),0,23,0,0,23,23,New York GiantsNY Giants (0-1),3,0,7,7,17,17,1979,1
Minnesota VikingsMinnesota (1-0),0,0,14,14,28,28,San Francisco 49ersSan Francisco (0-1),0,6,3,13,22,22,1979,1
St. Louis CardinalsSt. Louis (0-1),0,7,7,7,21,21,Dallas CowboysDallas (1-0),3,7,3,9,22,22,1979,1
Chicago BearsChicago (1-0),0,6,0,0,6,6,Green Bay PackersGreen Bay (0-1),0,0,3,0,3,3,1979,1
