home_name,home_q1,home_q2,home_q3,home_q4,home_final,away_name,away_q1,away_q2,away_q3,away_q4,away_final,year,week
Washington,7,3,0,0,10,Kansas City,7,0,3,7,17,1998,9
Washington,7,3,0,0,10,Green Bay,16,3,0,17,36,1998,9
Washington,7,3,0,0,10,Seattle,3,7,8,0,18,1998,9
Washington,7,3,0,0,10,Philadelphia,0,0,0,0,0,1998,9
New England,3,0,7,0,10,Atlanta,14,14,3,10,41,1998,10
Baltimore,7,3,0,3,13,Oakland,0,3,0,7,10,1998,10
Dallas,3,3,3,7,16,N.Y. Giants,3,3,0,0,6,1998,10
Jacksonville,10,14,0,0,24,Cincinnati,0,0,3,8,11,1998,10
Miami,7,13,0,7,27,Indianapolis,0,0,0,14,14,1998,10
Minnesota,7,10,7,7,31,New Orleans,0,7,10,7,24,1998,10
Philadelphia,0,7,0,3,10,Detroit,0,3,3,3,9,1998,10
Chicago,7,0,3,2,12,St. Louis,0,14,3,3,20,1998,10
Arizona,0,7,7,15,29,Washington,3,14,0,10,27,1998,10
San Francisco,0,7,15,3,25,Carolina,3,13,0,7,23,1998,10
Denver,7,13,7,0,27,San Diego,0,0,0,10,10,1998,10
N.Y. Jets,7,6,7,14,34,Buffalo,3,6,3,0,12,1998,10
Seattle,14,10,0,0,24,Kansas City,3,3,0,6,12,1998,10
Tampa Bay,3,13,0,6,22,Tennessee,3,0,14,14,31,1998,10
Pittsburgh,14,10,3,0,27,Green Bay,0,0,3,17,20,1998,10
Atlanta,0,7,3,21,31,San Francisco,0,3,3,13,19,1998,11
Buffalo,3,3,7,0,13,New England,0,3,0,7,10,1998,11
Indianapolis,10,0,7,7,24,N.Y. Jets,3,20,0,0,23,1998,11
Carolina,3,3,0,3,9,Miami,7,3,0,3,13,1998,11
Minnesota,7,0,7,10,24,Cincinnati,0,3,0,0,3,1998,11
New Orleans,14,10,0,0,24,St. Louis,3,0,0,0,3,1998,11
Tennessee,3,10,0,10,23,Pittsburgh,0,14,0,0,14,1998,11
Washington,7,7,7,7,28,Philadelphia,0,3,0,0,3,1998,11
Oakland,0,7,0,13,20,Seattle,7,3,0,7,17,1998,11
San Diego,0,7,0,7,14,Baltimore,0,3,7,3,13,1998,11
Arizona,0,7,14,7,28,Dallas,14,14,7,0,35,1998,11
N.Y. Giants,0,3,0,0,3,Green Bay,7,13,10,7,37,1998,11
Jacksonville,7,7,6,9,29,Tampa Bay,3,14,0,7,24,1998,11
Detroit,7,10,6,3,26,Chicago,0,3,0,0,3,1998,11
Kansas City,0,7,0,0,7,Denver,14,6,3,7,30,1998,11
Washington,0,6,21,15,42,Arizona,17,14,7,7,45,1998,12
Atlanta,0,3,7,10,20,Chicago,0,3,10,0,13,1998,12
Buffalo,0,24,3,7,34,Indianapolis,3,0,0,8,11,1998,12
Dallas,10,6,0,14,30,Seattle,0,14,0,8,22,1998,12
Tampa Bay,0,14,3,8,25,Detroit,14,7,0,7,28,1998,12
Minnesota,10,10,0,8,28,Green Bay,0,7,0,7,14,1998,12
N.Y. Giants,3,0,7,10,20,Philadelphia,0,0,0,0,0,1998,12
Pittsburgh,7,6,3,14,30,Jacksonville,0,0,7,8,15,1998,12
St. Louis,0,7,7,6,20,Carolina,7,10,0,7,24,1998,12
Cincinnati,0,3,10,0,13,Baltimore,7,10,0,3,20,1998,12
Denver,3,14,0,23,40,Oakland,0,7,7,0,14,1998,12
Tennessee,0,3,0,0,3,N.Y. Jets,0,3,7,14,24,1998,12
San Diego,7,10,0,21,38,Kansas City,7,7,13,10,37,1998,12
San Francisco,0,14,17,0,31,New Orleans,10,3,0,7,20,1998,12
New England,7,3,6,10,26,Miami,7,7,3,6,23,1998,12
Detroit,0,3,3,10,19,Pittsburgh,0,6,7,3,16,1998,13
Dallas,6,6,10,14,36,Minnesota,21,3,15,7,46,1998,13
St. Louis,0,0,7,3,10,Atlanta,3,0,11,7,21,1998,13
Baltimore,3,10,8,17,38,Indianapolis,17,7,7,0,31,1998,13
Cincinnati,0,10,7,0,17,Jacksonville,7,10,10,7,34,1998,13
Kansas City,7,7,10,10,34,Arizona,0,10,7,7,24,1998,13
N.Y. Jets,10,12,19,7,48,Carolina,7,0,7,7,21,1998,13
Chicago,0,14,0,3,17,Tampa Bay,7,14,10,0,31,1998,13
New England,0,14,3,8,25,Buffalo,0,6,9,6,21,1998,13
Seattle,0,3,7,10,20,Tennessee,3,3,0,12,18,1998,13
Green Bay,0,10,7,7,24,Philadelphia,0,6,7,3,16,1998,13
Miami,0,13,3,14,30,New Orleans,3,7,0,0,10,1998,13
Oakland,7,0,0,12,19,Washington,7,10,2,10,29,1998,13
San Diego,10,0,0,6,16,Denver,14,7,7,3,31,1998,13
San Francisco,7,7,7,10,31,N.Y. Giants,7,0,0,0,7,1998,13
Philadelphia,10,0,7,0,17,St. Louis,0,6,0,8,14,1998,14
Atlanta,7,14,7,0,28,Indianapolis,14,7,0,0,21,1998,14
Cincinnati,0,13,0,7,20,Buffalo,10,10,6,7,33,1998,14
Jacksonville,14,10,3,10,37,Detroit,3,10,3,6,22,1998,14
Pittsburgh,0,6,3,0,9,New England,3,10,0,10,23,1998,14
New Orleans,2,17,3,0,22,Dallas,3,0,0,0,3,1998,14
N.Y. Jets,7,6,6,13,32,Seattle,14,7,10,0,31,1998,14
Carolina,7,0,7,14,28,San Francisco,7,14,7,0,31,1998,14
Washington,7,10,0,7,24,San Diego,3,11,3,3,20,1998,14
Arizona,14,3,0,2,19,N.Y. Giants,7,3,10,3,23,1998,14
Denver,7,14,0,14,35,Kansas City,21,0,7,3,31,1998,14
Oakland,0,3,7,7,17,Miami,17,7,0,3,27,1998,14
Tennessee,10,3,0,3,16,Baltimore,0,0,7,7,14,1998,14
Minnesota,14,13,7,14,48,Chicago,0,0,14,8,22,1998,14
Tampa Bay,7,7,3,7,24,Green Bay,3,3,3,13,22,1998,14
Philadelphia,0,10,0,7,17,Arizona,10,0,0,7,20,1998,15
New Orleans,0,7,7,3,17,Atlanta,14,3,0,10,27,1998,15
Buffalo,3,17,17,7,44,Oakland,0,7,7,7,21,1998,15
Green Bay,3,6,7,10,26,Chicago,7,0,6,7,20,1998,15
Indianapolis,10,14,7,8,39,Cincinnati,3,3,6,14,26,1998,15
N.Y. Giants,3,7,0,10,20,Denver,3,3,3,7,16,1998,15
St. Louis,10,7,15,0,32,New England,3,12,3,0,18,1998,15
Tampa Bay,3,3,7,3,16,Pittsburgh,3,0,0,0,3,1998,15
Jacksonville,10,0,0,3,13,Tennessee,0,10,0,6,16,1998,15
Carolina,3,14,0,8,25,Washington,14,7,7,0,28,1998,15
Seattle,14,7,7,10,38,San Diego,7,7,0,3,17,1998,15
Kansas City,3,0,14,3,20,Dallas,0,3,0,14,17,1998,15
Baltimore,14,0,0,14,28,Minnesota,12,13,10,3,38,1998,15
Miami,3,0,0,13,16,N.Y. Jets,7,0,7,7,21,1998,15
San Francisco,7,14,7,7,35,Detroit,0,0,0,13,13,1998,15
Buffalo,0,7,3,0,10,N.Y. Jets,7,0,10,0,17,1998,16
Washington,7,0,0,13,20,Tampa Bay,7,6,3,0,16,1998,16
Carolina,0,7,3,10,20,St. Louis,3,7,3,0,13,1998,16
Chicago,3,21,0,0,24,Baltimore,0,0,3,0,3,1998,16
Pittsburgh,0,7,14,3,24,Cincinnati,3,13,6,3,25,1998,16
Green Bay,14,7,3,6,30,Tennessee,0,7,7,8,22,1998,16
New England,7,7,0,10,24,San Francisco,0,21,0,0,21,1998,16
N.Y. Giants,14,7,7,0,28,Kansas City,0,0,7,0,7,1998,16
San Diego,3,0,7,0,10,Oakland,0,14,3,0,17,1998,16
Seattle,7,3,0,17,27,Indianapolis,7,3,10,3,23,1998,16
Arizona,3,3,7,6,19,New Orleans,0,10,0,7,17,1998,16
Detroit,7,7,3,0,17,Atlanta,7,3,0,14,24,1998,16
Dallas,7,0,6,0,13,Philadelphia,3,0,3,3,9,1998,16
Minnesota,3,9,14,24,50,Jacksonville,0,3,0,7,10,1998,16
Miami,0,7,14,10,31,Denver,3,10,0,8,21,1998,16
Tennessee,3,10,3,0,16,Minnesota,2,6,15,3,26,1998,17
Oakland,14,0,3,7,24,Kansas City,0,7,17,7,31,1998,17
Atlanta,21,3,14,0,38,Miami,0,6,10,0,16,1998,17
Baltimore,9,7,0,3,19,Detroit,0,3,0,7,10,1998,17
New Orleans,0,14,7,12,33,Buffalo,21,7,3,14,45,1998,17
Indianapolis,3,13,3,0,19,Carolina,3,3,14,7,27,1998,17
Chicago,7,3,3,0,13,Green Bay,7,0,6,3,16,1998,17
N.Y. Jets,3,14,7,7,31,New England,0,3,0,7,10,1998,17
Cincinnati,0,0,0,0,0,Tampa Bay,14,14,0,7,35,1998,17
Philadelphia,0,10,0,0,10,N.Y. Giants,3,3,7,7,20,1998,17
San Francisco,3,7,18,10,38,St. Louis,7,0,0,12,19,1998,17
Arizona,7,3,3,3,16,San Diego,0,3,0,10,13,1998,17
Denver,0,14,7,7,28,Seattle,7,0,0,14,21,1998,17
Dallas,3,17,0,3,23,Washington,7,0,0,0,7,1998,17
Jacksonville,0,14,7,0,21,Pittsburgh,0,3,0,0,3,1998,17
Philadelphia,21,3,0,0,24,Arizona,0,6,6,13,25,1999,1
Chicago,7,13,0,0,20,Kansas City,3,0,7,7,17,1999,1
Washington,3,10,22,0,35,Dallas,7,7,0,21,41,1999,1
Green Bay,7,0,7,14,28,Oakland,3,7,7,7,24,1999,1
Indianapolis,7,7,7,10,31,Buffalo,0,6,8,0,14,1999,1
N.Y. Jets,7,9,6,6,28,New England,3,7,17,3,30,1999,1
New Orleans,7,3,9,0,19,Carolina,0,10,0,0,10,1999,1
St. Louis,3,14,0,10,27,Baltimore,0,3,7,0,10,1999,1
Tennessee,14,12,0,10,36,Cincinnati,7,14,8,6,35,1999,1
Seattle,0,7,7,6,20,Detroit,3,22,0,3,28,1999,1
Jacksonville,3,3,18,17,41,San Francisco,3,0,0,0,3,1999,1
Atlanta,0,7,0,7,14,Minnesota,0,17,0,0,17,1999,1
Tampa Bay,0,10,3,0,13,N.Y. Giants,7,0,7,3,17,1999,1
Cleveland,0,0,0,0,0,Pittsburgh,7,13,6,17,43,1999,1
Denver,7,0,7,7,21,Miami,0,17,7,14,38,1999,1
Green Bay,0,14,0,9,23,Detroit,3,3,0,9,15,1999,2
Carolina,0,14,0,6,20,Jacksonville,3,3,6,10,22,1999,2
Miami,3,10,6,0,19,Arizona,0,13,3,0,16,1999,2
New England,0,7,7,17,31,Indianapolis,14,14,0,0,28,1999,2
Minnesota,7,3,0,7,17,Oakland,0,6,16,0,22,1999,2
Baltimore,7,3,0,10,20,Pittsburgh,7,7,3,6,23,1999,2
Cincinnati,7,0,0,0,7,San Diego,13,15,3,3,34,1999,2
Chicago,0,10,3,0,13,Seattle,0,0,0,14,14,1999,2
Philadelphia,5,0,0,0,5,Tampa Bay,7,6,6,0,19,1999,2
N.Y. Giants,0,14,0,7,21,Washington,21,12,10,7,50,1999,2
San Francisco,7,7,0,14,28,New Orleans,0,14,7,0,21,1999,2
Kansas City,0,6,10,10,26,Denver,0,3,0,7,10,1999,2
Tennessee,2,14,3,7,26,Cleveland,0,3,6,0,9,1999,2
Buffalo,0,7,7,3,17,N.Y. Jets,0,0,3,0,3,1999,2
Dallas,10,0,7,7,24,Atlanta,0,0,0,7,7,1999,2
Dallas,10,0,7,7,24,Baltimore,3,7,7,0,17,1999,3
Dallas,10,0,7,7,24,Buffalo,9,10,7,0,26,1999,3
Dallas,10,0,7,7,24,Carolina,10,3,7,7,27,1999,3
Dallas,10,0,7,7,24,Kansas City,7,10,7,7,31,1999,3
Dallas,10,0,7,7,24,Pittsburgh,0,0,0,10,10,1999,3
Dallas,10,0,7,7,24,St. Louis,7,21,7,0,35,1999,3
Dallas,10,0,7,7,24,Tampa Bay,7,6,0,0,13,1999,3
Dallas,10,0,7,7,24,N.Y. Jets,7,0,7,6,20,1999,3
Dallas,10,0,7,7,24,San Diego,0,16,3,0,19,1999,3
Dallas,10,0,7,7,24,Jacksonville,3,0,14,2,19,1999,3
Dallas,10,0,7,7,24,Green Bay,0,10,3,10,23,1999,3
Dallas,10,0,7,7,24,Oakland,7,7,0,10,24,1999,3
Dallas,10,0,7,7,24,New England,0,7,6,3,16,1999,3
Dallas,10,0,7,7,24,Arizona,0,0,10,0,10,1999,3
Dallas,10,0,7,7,24,Atlanta,0,6,7,0,13,1999,4
Dallas,10,0,7,7,24,Chicago,0,0,0,14,14,1999,4
Dallas,10,0,7,7,24,Dallas,14,7,7,7,35,1999,4
Dallas,10,0,7,7,24,Pittsburgh,0,3,0,0,3,1999,4
Dallas,10,0,7,7,24,Minnesota,21,0,0,0,21,1999,4
Dallas,10,0,7,7,24,Cleveland,7,0,0,0,7,1999,4
Dallas,10,0,7,7,24,N.Y. Giants,7,3,3,3,16,1999,4
Dallas,10,0,7,7,24,Cincinnati,3,0,0,7,10,1999,4
Dallas,10,0,7,7,24,Washington,0,28,7,3,38,1999,4
Dallas,10,0,7,7,24,Denver,10,3,0,0,13,1999,4
Dallas,10,0,7,7,24,San Diego,0,14,7,0,21,1999,4
Dallas,10,0,7,7,24,San Francisco,0,14,0,10,24,1999,4
Dallas,10,0,7,7,24,Seattle,3,6,10,3,22,1999,4
Dallas,10,0,7,7,24,Miami,6,3,0,9,18,1999,4
Dallas,10,0,7,7,24,New Orleans,0,17,0,0,17,1999,5
